ano,mes,dia,temp,radiacao,umidade,chuva,vento
2011,5,27,25.1300978179,183.388261851,74.2540255831,0,0
2011,5,28,22.3946388889,125.6444444444,82.7979861111,0,0
2011,5,29,24.2391458333,176.39375,78.1435416667,0,0
2011,5,30,26.4983333333,182.2173611111,68.2047916667,0,0
2011,5,31,26.0087430556,163.5979166667,66.2194444444,0,0
2011,6,1,25.2099097222,182.6194444444,64.2241666667,0,0
2011,6,2,25.4956527778,194.7159722222,58.9348611111,0,0
2011,6,3,26.1554791667,184.3673611111,59.3607638889,0,0
2011,6,4,25.6077152778,183.4402777778,62.6239583333,0,0
2011,6,5,24.4364861111,188.7666666667,61.9897222222,0,0
2011,6,6,26.7929444444,187.4166666667,54.2298611111,0,0
2011,6,7,28.1794652778,188.6076388889,54.72,0,0
2011,6,8,28.012375,171.2583333333,66.7845138889,0,0
2011,6,9,27.7587986111,137.2319444444,65.8248611111,0.0093055556,0.0015972222
2011,6,10,22.2457569444,75.9069444444,91.3446527778,0.0009722222,0
2011,6,11,24.4165902778,164.7048611111,80.9053472222,0,0
2011,6,12,25.7226111111,189.0881944444,74.4456944444,0,0
2011,6,13,26.9779097222,189.8409722222,65.1209027778,0,0
2011,6,14,26.1894166667,194.5347222222,62.8092361111,0,0
2011,6,15,27.3417847222,164.4208333333,56.8879861111,0,0
2011,6,16,27.6887986111,183.8631944444,56.8818055556,0,0
2011,6,17,28.0474027778,190.3340277778,57.9884722222,0,0
2011,6,18,27.6487430556,186.3326388889,56.3395138889,0,0
2011,6,19,27.0269930556,193.4736111111,55.5151388889,0,0
2011,6,20,27.8135972222,190.6756944444,56.908125,0,0
2011,6,21,28.3142013889,187.9798611111,52.9974305556,0,0
2011,6,22,28.0209444444,191.1326388889,50.8626388889,0.0248611111,0
2011,6,23,27.1151041667,190.2777777778,54.6557638889,0,0
2011,6,24,25.4171111111,163.35625,71.4510416667,0,0
2011,6,25,25.9920902778,167.2930555556,72.1782638889,0,0
2011,6,26,17.5232013889,60.5402777778,79.6580555556,0.0004166667,0
2011,6,27,15.6045763889,187.5784722222,67.5668055556,0,0
2011,6,28,19.0146527778,184.1493055556,63.5983333333,0,0
2011,6,29,23.9270208333,180.4222222222,64.0063194444,0,0
2011,6,30,26.5553611111,187.1409722222,60.1992361111,0,0
2011,7,1,26.5552013889,184.3666666667,66.5195833333,0,0
2011,7,2,19.9803263889,51.2805555556,90.1203472222,0,0
2011,7,3,16.6143125,36.98125,93.8149305556,0.0001388889,0
2011,7,4,15.3126180556,56.1756944444,87.5101388889,0,0
2011,7,5,19.899375,190.65625,75.4907638889,0,0
2011,7,6,23.2885763889,189.3715277778,67.27625,0,0
2011,7,7,23.6400208333,187.9583333333,66.4260416667,0,0
2011,7,8,24.0412083333,186.8583333333,64.8234027778,0,0
2011,7,9,26.1249583333,193.4138888889,56.1344444444,0,0
2011,7,10,28.5025277778,180.2104166667,48.6394444444,0,0
2011,7,11,28.2800416667,165.25625,56.4371527778,0,0
2011,7,12,28.8692291667,188.9722222222,48.7188194444,0,0
2011,7,13,28.6212083333,174.8791666667,50.0506944444,0,0
2011,7,14,27.6114861111,192.4729166667,42.8986111111,0,0
2011,7,15,27.8358263889,195.3791666667,38.2597222222,0,0
2011,7,16,28.2405555556,167.1194444444,40.8434027778,0,0
2011,7,17,29.0019097222,182.7944444444,48.3122222222,0,0
2011,7,18,29.1819791667,181.9847222222,52.5840277778,0,0
2011,7,19,28.4876180556,164.3604166667,57.8279861111,0,0
2011,7,20,30.1117569444,175.4986111111,49.7205555556,0,0
2011,7,21,28.5011041667,163.4631944444,54.3401388889,0,0
2011,7,22,20.1401180556,52.0479166667,88.0473611111,0,0
2011,7,23,22.0440763889,136.575,83.1471527778,0.0001388889,0
2011,7,24,25.5303194444,198.0881944444,61.5768055556,0,0
2011,7,25,27.4848472222,200.3923611111,45.2943055556,0,0
